,0
4064,#1 SG Car Deals Pte Ltd
3194,1 & Ones Motoring Pte Ltd
2556,1 Auto Co Pte Ltd
3843,1 Stop Motoring Pte Ltd
3965,111 Motoring Pte Ltd
3844,118 Cars
3908,18 Motors Pte Ltd
2690,1axis
4056,1F Motoring Pte Ltd
4016,1K Motoring
3642,1st Daytona Motor Trading
3953,1st Dream Auto Pte Ltd
3001,23 Auto Pte Ltd
3028,360 VR Cars
3732,365 Automotive Pte Ltd
3079,38 Karz Station LLP
3200,3B Express Auto Pte Ltd
3831,4 Motion Pte Ltd
3846,42 Motors Pte Ltd
4083,55 Motors Pte Ltd
4006,555 Automobile Pte Ltd
3817,5G Motors
2736,70 Automobile
2377,73 Automotives Concept
4070,77 Auto
4071,77CARS
4012,7M Auto
3281,833 Motor
4054,86 Ace Auto
2080,88 Motor Trading
3262,8th Speed Motoring Pte Ltd
3830,918 Motoring Pte Ltd
1106,99 Motors Trading
2550,A Asset Automobile Pte Ltd
1397,A M T Automobile
3183,A Star Car Leasing Pte Ltd
3545,A Star Motors Pte Ltd
2715,A&L Automobile Pte Ltd
3397,A3 Autohub Pte Ltd
2633,AA Trust Automotive
3483,AAC Performance Pte Ltd
1270,AB Zone
3113,ABS Bus Pte Ltd
3208,ABTrust Auto Dealer
1168,ABWIN (1994) Pte Ltd
3857,Abwin Leasing Pte Ltd
515,Abwin Pte Ltd
3017,Accendore Autolution Pte Ltd
1337,Ace Automobile
4003,Ace Motorsports Leasing Pte Ltd
3895,Ace Star Auto Pte Ltd
3765,ACES Enchante Pte Ltd
3324,ACM Automobiles Pte Ltd
3668,Acquired Cars Pte Ltd
3085,ACRS Automotive
3323,ACS38 Pte Ltd
2817,AD Auto Pte Ltd
3216,AD Motors Pte Ltd
2396,Aden Automobile
2428,Advance Auto Trading
4043,Advance Autobahn
3269,Advanced Auto Werkz Pte Ltd
3902,AE Motors Pte Ltd
2101,Aeon Credit
3500,Aero Garage Pte Ltd
3399,Affinity Mode Pte Ltd
4029,Aim Car
4001,AJ Motors Pte Ltd
2953,AKK Wheels Pte Ltd
2224,AL Autocar Pte Ltd
3792,All Wheelers Concierge Pte Ltd
2201,Alliance Automobile
2867,Allmotoring.sg
2085,Allswell Motor Traders
3286,Alpha Excellence Pte Ltd
1123,Alpine Financial Pte Ltd
2940,Alyon Motoring
3361,AM Car Trading
3321,AMS Motors Pte Ltd
4015,ANS Auto Pte Ltd
3790,AP Automotive Services Pte Ltd
3806,AP Motors
3160,Apex Automotive
1266,Apex Trading Pte Ltd
3076,APL Credit Pte Ltd
4097,Ardor Auto Pte Ltd
4017,Armstrong Auto Pte Ltd
3638,Arrow Tyres Pte Ltd
3919,Art Automobiles Pte Ltd
2705,AS Automotive Specialist
1085,Asia Autocarz Pte Ltd
3623,Asia Automotive Pte Ltd
2880,Asia Carz Auto
2978,Asia Wheels Pte Ltd
3715,Assameur Automobile
4084,Asset Limo
3922,AT Carz
3501,Atan Leasing Pte Ltd
3313,Athical Pte Ltd
2496,Auracar Pte Ltd
4059,Aut0 Precisi0n Pte Ltd
2185,Auto 51 Pte Ltd
3705,Auto Advice
3821,Auto Atelier Pte Ltd
3788,Auto Car Traders.com Pte Ltd
2844,Auto Corsa Pte Ltd
3459,Auto Credit and Leasing
2447,Auto D & D Trading
3742,Auto Direct Pte Ltd
3128,Auto Division Pte Ltd
3559,Auto Empire Pte Ltd
2790,Auto Equator
2767,Auto Exchange Pte Ltd
3887,Auto G Pte Ltd
3607,Auto Galleria Pte Ltd
3664,Auto Garage Pte Ltd
1433,Auto Habitat
3199,Auto Imperial Cars Pte Ltd
2552,Auto Induz3
1172,Auto Inn
3871,Auto Insurance SG Pte Ltd
3606,Auto Macchina
2198,Auto Midas (S) Pte Ltd
1343,Auto Optima
1300,Auto Quest Singapore
3508,Auto Sincere Pte Ltd
3970,Auto Supreme Pte Ltd
1281,Auto Venture Motoring
4031,Auto Zone Pte Ltd
1400,Auto Zoom Enterprise Pte Ltd
2986,Auto365 Pte Ltd
3725,Autoart Singapore Pte Ltd
2387,Autobahn Motors (S) Pte Ltd
1149,Autocar Pte Ltd
2888,Autocars Premium Pte Ltd
3496,AutoCarz
3421,Autoclinic Car Warranty & Leasing Pte. Ltd
3038,AutoConnect Motoring
3825,Autodealz Pte Ltd
3495,AutoGuru+ SG LLP
3647,Autohaven Pte Ltd
3741,Autohome Trading
4060,Autohomme
2093,AutoInc Pte Ltd
1108,Autolica Trading
3440,Autoline Credit Pte Ltd
2015,Autolink Holdings Pte Ltd
2744,Autolynx Pte Ltd
2833,Automate
3988,Automax Pte Ltd
3652,Automedic Holdings
2409,Automobile Connection
3292,Automobile Pte Ltd
541,Automobile Traders Pte Ltd
2850,Automobili KK Pte Ltd
2070,Automotive Direct
2758,Autopoint Automobile Pte Ltd
2975,AutoPrestige Gallery Pte Ltd
3433,Autorol Pte Ltd
2291,Autotrust Traders Pte Ltd
2771,Avantgarde Motor Asia Pte Ltd
1064,Avil Motors Pte Ltd
2173,Avon Cars Pte Ltd
4092,Awesome Motors Pte Ltd
3414,Axle Motors Pte Ltd
3600,Axon Automobile
3860,Aziz Ah Oh Motor Trading
3534,B Motoring LLP
3832,B&D Focus Pte Ltd
2215,Banyan Auto
2927,Bavarian Marques Pte Ltd
3528,BB Cars Pte Ltd
1304,BCC Auto Credit
3550,BDN Motoring LLP
3585,BeAhead Pte Ltd
3159,Beata Car
2494,Bee Huat Credit
3478,Believ1n Automobile Pte Ltd
3430,Bell Auto Pte Ltd
3936,Bell KSL Auto Pte Ltd
1309,Bellamy Trading
2077,Benefit Auto Enterprise Pte Ltd
4000,Benz Bodyworkz Pte Ltd
2762,Benz Direct Singapore Pte Ltd
4055,Best Motors Pte Ltd
3630,Bestauto Motoring
3749,Big Bird Automobiles Pte Ltd
3502,BIS Automobiles Pte Ltd
1147,BKW Automobile Pte Ltd
2434,Bliss Auto
2531,Blitz Motoring
3444,Bloom Auto
3090,BMS Motoring
522,BMW Financial Services Singapore Pte Ltd
4049,Bo555ku Automobile
1359,Boeki Auto Pte Ltd
3470,Bond Auto Pte Ltd
2549,Borneo Motors (S)
3764,BP Auto Enterprise Pte Ltd
3422,Brilliant Cars
2413,Brilliant Carz Automobile
3438,Buddy Motor
3928,Butter Trade Pte Ltd
3309,Buycar Pte Ltd
1039,BW Automobiles
3119,BWC Consultants Pte Ltd
3106,Bz Carz Pte Ltd
3718,C&C Motorline
3232,Capital Credit Pte Ltd
2976,Car (S) Pte Ltd
2135,Car Auto Connection Pte Ltd
3108,Car Buddy Pte Ltd
3950,Car Butlers Pte Ltd
3133,Car Buyers Automotive Pte Ltd
2016,Car City Leasing
3873,Car Culture Pte Ltd
1068,Car Design Motor
3972,Car Edition Pte Ltd
3417,Car Elegance
3405,Car Empire Automobiles Pte Ltd
3863,Car Express Auto Trading
3464,Car Fleet Automobile
2756,Car Guru.Com Pte Ltd
2199,Car House Pte Ltd
3193,Car Hub Holdings Pte Ltd
3655,Car Hub SG
3237,Car Impression Pte Ltd
2465,Car Instinct
1264,Car Lingual
3651,Car Network SG Pte Ltd
1326,Car One Auto Pte Ltd
3368,Car Premium Pte Ltd
3579,Car Pulse Pte Ltd
3959,Car R Toys Trader Pte Ltd
2032,Car Ranger
3515,Car Republic Pte Ltd
3214,Car Search
3173,Car Source Pte Ltd
3753,Car Space Pte Ltd
2802,Car Talk Pte Ltd
1023,Car Times Automobile Pte Ltd
2783,Car Vault Pte Ltd
1135,Car World Automobile Pte Ltd
3828,Car Xtream
3667,Car Zone Auto Pte Ltd
3555,Car2car
2938,Car41 Pte Ltd
3358,Car4U
3653,Carbers Pte Ltd
1345,Carbiz Pte Ltd
3980,Carbusiness (S) Pte Ltd
3163,CarChope
2446,Care Motor
3093,Cargent Pte Ltd
2860,Carland Automobile
3665,Carle Pte Ltd
3033,Carline Selection
3312,Carlink Credit Pte Ltd
3564,Carplus Pte Ltd
2648,CarQuotations
3382,CarQuotz Singapore
3945,CarRight Auto Pte Ltd
3597,Carro
3441,Cars & Coffee Singapore
1072,Cars & Stars
4090,Cars & Watches Pte Ltd
3097,Cars & Yachts Pte Ltd
3427,Cars 19
4100,Cars And Watches Pte Ltd
2002,Cars Connect
4074,Cars Consignment Pte Ltd
3654,Cars Deluxe
3737,Cars For Rent (2016) Pte Ltd
3084,Cars Image
3514,Cars M2A Pte Ltd
3728,Cars N U Auto Pte Ltd
4019,Cars Online Pte Ltd
3189,Cars R Us Pte Ltd
3276,Cars Select
2282,Cars Selection Pte Ltd
4095,Cars With Us Pte Ltd
3754,Carsdotcom Pte Ltd
3540,Carsmart Pte Ltd
2542,Carteam Pte Ltd
4081,Cartunes Auto LLP
1344,CARWAY
2264,Carz Avenue
3901,Carz Gallery Pte Ltd
1388,Carz Trader
2870,Carz World Pte Ltd
3975,Carz'D'Artz
1460,Carzbond
3885,Carzeus Pte Ltd
3969,Carzioz Pte Ltd
3525,Carzlike Pte Ltd
3893,CAS Tradings Pte Ltd
3389,Caz Auto Pte Ltd
3230,CDM Automobile
2508,Centrepoint Auto
2814,Centro Auto Pte Ltd
1268,Chai Giap Auto Trading
3278,Charlie's Auto Pte Ltd
1431,Chartered Motor
3791,Chaze Auto Pte Ltd
3809,CHE.com.sg Pte Ltd
1143,Chen Chai Marketing
1132,Cheng Xing Enterprise
1244,Chicago Associates
1107,Chin Lian Seng Motor Trading
1154,Choon Bee Motor & Credit
2491,Choon's Motor Trading
2470,Chrysler Jeep Automotive Of Singapore Pte Ltd
3519,Chua Heng Motors Pte Ltd
2047,Chuan Choon Motor Trading Co.
505,Citibank Singapore Ltd
3333,Clarity Cars Pte Ltd
3617,Classic Butterfly Pte Ltd
1034,Classic Credit Pte Ltd
4072,Classic Motorworks
3865,Cloud Carz Pte Ltd
3739,CMS Marketing
3853,Coatconut Pte Ltd
3521,Coche Motors Pte Ltd
1099,COE Auto Trading
2172,ComfortDelgro Rent-A-Car
3910,Commercial Vehicles Distributor Pte Ltd
4085,Commonwealth Motor Pte Ltd
3918,Conceptz Motoring
2243,Concordway Pte Ltd
3736,Consign SG
3620,Consort Cars Pte Ltd
3859,Consulting Cars Pte Ltd
2861,Conti Motors Pte Ltd
1233,Convince Auto
2026,Corsica Trading
1354,Cosmo Automobiles
4014,Covenant Concept Pte Ltd
3947,CP Auto Trading
3486,Craft Auto Pte Ltd
1277,Creative Auto
3626,Creative Auto Leasing Pte Ltd
2179,Credential Motor Pte Ltd
3465,Creed Automotive LLP
3272,Crown Motoring Pte Ltd
3069,Crownston Bleu Pte Ltd
3210,CSH Motors (S) Pte Ltd
3955,CVM Trading
3575,Cyber Yard Ent Pte Ltd
3632,Cycle & Carriage Industries Pte Ltd
2037,Cycle & Carriage.Fulco Motor Dealer
4011,CZ Auto
3801,D Car Trader Pte Ltd
1223,D H Auto
2753,D T Auto
2163,D&L Auto Trading
3599,D'Carz Trading Pte Ltd
2391,D2 Motors
511,Daimler Fleet Management Singapore Pte Ltd
3197,Dart Alliance Automobile Pte Ltd
3103,Das WeltAuto
3604,Dats Motor Trading Pte Ltd
1386,Dave Motor Trading Company
3935,Daytona Motors
3890,De-One Auto Pte Ltd
2245,Delgrow Automotive
2268,Dencars Pte Ltd
2829,Dennis-Link
3222,Des & Co Automobile Pte Ltd
1350,Desmond Auto Trading
3982,Destiny Motors Pte Ltd
3491,Detail Lab
3457,Dew Motoring
3814,Diamond Auto Pte Ltd
1054,Dickson Automobile
3881,Direct Auto Solutions
2996,DirectCars Pte Ltd
2521,DM Pre-Owned Pte Ltd
4018,Domain Cars Pte Ltd
3761,Dpex Motor Pte Ltd
3978,Dream Car Pte Ltd
2725,Dream Drive Pte Ltd
3451,Dream Selection Pte Ltd
2718,Drive Select
3415,Drivetribe Pte Ltd
3762,Drivezz
3570,Drivinci Pte Ltd
3306,DS Motor & Leasing Pte Ltd
2702,DSC Motor LLP
4098,DWI Automotive Pte Ltd
3043,Dynamic Motoring
3733,Dynamic Motoring Commercial Pte Ltd
3646,DZ Global International Holding Pte Ltd
3984,E and F Motors Pte Ltd
2445,E10 Automobile
3209,Eagle Land (Credit) Pte Ltd
1201,Easicarz
4099,East Coast Auto Pte Ltd
3594,Eastern Motoring Pte Ltd
2573,Easy Auto
1462,Easy Car Pte Ltd
1464,Easy Motor Pte Ltd
3720,EC3 Asset Management
3473,Ecke Motoring
3798,Eco Automobile Trading
3588,EDM Cars Pte Ltd
3707,Edmund Motor Pte Ltd
1144,Efizzig Motor Traders
1176,EK Auto (Export) Pte Ltd
3489,Elementz Motor Pte Ltd
3852,Eliot Motoring Pte Ltd
2425,Elite Car Trading
2421,Elites Premium Auto
2468,Eltech Motors Trading
4094,Eminence Auto Pte Ltd
2448,Emperor Motors
3990,Engex Pte Ltd
3370,Epic Car Connection Pte Ltd
3894,Epicar Auto Pte Ltd
1429,Epicarz Pte Ltd
4046,EQ Pte Ltd
3447,ES Automobile Pte Ltd
1122,Esprit Motor Trading
2624,Esteem Performance Pte Ltd
535,Ethoz Capital Ltd
534,Ethoz Group Ltd
2849,EU Automobile Pte Ltd
1398,Euro Motors Pte Ltd
2875,Euro Performance Asia Pte Ltd
1027,Euro-Asia Motor
4079,Euroauto Motors Pte Ltd
3800,Eurohaus Tuning Pte Ltd
2649,Eurokars Next Pte Ltd
2011,Eurokars Pre Owned
2944,Eurokars Supersports Pte Ltd
1059,Eurospeed Auto
3198,EuroSports Auto Pte Ltd
3858,EV Direct Pte Ltd
3546,Everest Auto
3872,Evershine Kumar Automobile
3886,Evolution Motors Pte Ltd
3116,Evolve 360 Pte Ltd
2217,Excel Motoring
3013,Exclusive Auto Trading Pte Ltd
3986,Express Auto Pte Ltd
3819,Exquisite Lux
4086,Extol Global Pte Ltd
4062,EZ Drive Auto
3218,Ezy-1 Pte Ltd
3003,F1 Auto Cars Pte Ltd
1079,Faster Auto Trading
3395,Fave Auto International Pte Ltd
2885,Fei Yang Auto
2126,Feliks Automobile
3914,Finzeo Pte Ltd
3734,First Automobile Premium Pte Ltd 
1067,First CarMart Motor
4087,First Wave Motoring Pte Ltd
3944,Fitz Automobile 
3351,Footprint Creative Hub
2554,Formular Enterprise
4030,FP Autosports Pte Ltd
1061,FredLink Auto Trading
1011,Friends Auto Trading
3140,Friends Automobile
1188,Fu Ee Cars
1164,Fu Yiap Motor Trading
1228,Fulgent Motors Pte Ltd
3169,FullThrottle Motors Pte Ltd
2979,Fultonn Motor Pte Ltd
1036,G Motor Trading
1288,G.S.T. Automobile Trading
3476,G2 Auto
3999,Gab's Garage
3329,Galaxy Auto Pte Ltd
2567,Garage R
2895,GB Auto Pte Ltd
3951,GC Automotive (S) Pte Ltd
3505,GD Carz Trading Pte Ltd
4039,Gemini Auto
2943,Gen Capital Pte Ltd
2795,Gen Y Automobile
2651,General Leasing Pte Ltd
1327,GF Motor Trading Enterprise
3162,Giant Automobile Pte Ltd
3282,GL Auto
3898,Glamour Automotive Pte Ltd
4013,Glatt Motors Pte Ltd
3572,Global Advance Motor
3110,Global Carz Pte Ltd
2515,GMA Auto Enterprise LLP
4009,Godspeed Auto Pte Ltd
2318,Gold Flames Investments
3287,Golden Charter Pte Ltd
3365,GOwheeler Pte Ltd
3848,Gran Torino Pte Ltd
503,Grand Growth
2821,Grand Motoring
2485,Grande Auto Credit
3813,Grandeur Motors Pte Ltd
2799,Great Auto
4089,Green Citi Tech (S) Pte Ltd
3896,Grit Automotive Pte Ltd
2541,GS Automobiles Pte Ltd
2712,GS Cars Pte Ltd
3112,GS Leasing Pte Ltd
3854,GT Autos Pte Ltd
3024,GT Performance Pte Ltd
1340,Guan Motor Trading
1137,Gunong Djati Trading
3964,Gusto 4 Wheels Pte Ltd
1194,GV Automobile Centre Pte Ltd
3598,Hach Pte Ltd
2840,Hallmark Autohub Pte Ltd
2518,Hamilton Autohub Pte Ltd
3816,Hand Tech Auto
1193,Happy Motoring Pte Ltd
3121,Happy Victory Leasing Pte Ltd
2352,Harvest Motoring Pte Ltd
3912,Hayashi Automobiles
1307,Henly Enterprises Co
1028,Heritage Auto Enterprise Pte Ltd
3903,HG Auto Pte Ltd
2332,High Speed Motor
2578,Highline Automotive
1043,Hin Lung Auto Pte Ltd
3191,Hipac Motor Trading
3141,Hippo Leasing Pte Ltd
527,HL Bank
3639,Ho Motors Pte Ltd
4023,Hock Lai Enterprises
1256,Hoe Beng Auto Trading
1328,Hon Brothers Pte Ltd
3660,Honestbobsg Pte Ltd
2775,Hong Heng Co. Pte Ltd
2009,Hong Seh Motors Pte Ltd
2591,Hong Wei Vehicle Pte Ltd
2981,Hong Yun Auto Trading
1418,Horizon Motoring
3522,Hou Auto
1020,House De Carz Trading Pte Ltd
3226,HQ Motors Pte Ltd
3971,HS Financing Pte Ltd
3611,HT Express Logistics Pte Ltd
2689,HTS Motor
1243,Hua Heng Motor Trading
2021,Hua Hong Motoring
1066,Hua Yang Credit Pte Ltd
3622,Hua Yang Motor Pte Ltd
2239,Hui Hua Credit Pte Ltd
3339,HY Automobile Pte Ltd
3659,Hybrid Vehicles Singapore Pte Ltd
3973,Hypacars Pte Ltd
3776,Hype Motoring Pte Ltd
3480,Hype Motors Pte Ltd
2034,I Efficient Auto
2852,I Walker Automobile
2794,I-Deal Auto Trading Pte Ltd
3201,iCar SG
4032,Icon Cars Pte Ltd
2305,Ideal Automobile Pte Ltd
2412,Ideal Motoring
3423,IExports Pte Ltd
1294,Igua Motoring
2804,Imperium Car Motor Pte Ltd
1173,Index Credit
4002,Infinity Automobile Pte Ltd
4078,Influx Automotive Pte Ltd
3716,Initial Auto Pte Ltd
4076,Inmovimento Pte Ltd
3847,Invictus Auto Pte Ltd
1005,Island Car Trading Pte Ltd
2511,Ital Auto
1195,Iterly Motor Pte Ltd
2328,J Elite Cars
2249,J&J Auto Enterprise
3989,J-Auto Pte Ltd
3889,J.Marzu Pte Ltd
2014,Jack Cars Enterprise Pte Ltd
3856,Jackson Powertrain Pte Ltd
2823,Jacob's Car Trading
2811,Jaydan Trading
2604,JCWC Automobile
4058,JD Auto Pte Ltd
